iter	Logloss
0	0.6504282325
1	0.6122838951
2	0.5705996687
3	0.5355386948
4	0.5034579952
5	0.4749130682
6	0.4453259242
7	0.4227034267
8	0.3995901776
9	0.3820829572
10	0.3661382649
11	0.3493949672
12	0.3341236787
13	0.3212196288
14	0.3086780936
15	0.2976030623
16	0.2884994606
17	0.2792430631
18	0.2729584423
19	0.2659692848
20	0.2579178356
21	0.252082764
22	0.2469171297
23	0.2425431467
24	0.2379699598
25	0.2340578961
26	0.2289230502
27	0.225063991
28	0.220595954
29	0.2173325505
30	0.2131444737
31	0.2101721202
32	0.2066970367
33	0.2034235317
34	0.2000046327
35	0.1973651809
36	0.1953236687
37	0.1930944106
38	0.19132729
39	0.1886994509
40	0.1863996776
41	0.1844210479
42	0.1824395358
43	0.180466617
44	0.1788322834
45	0.1772635237
46	0.1760053714
47	0.1745038154
48	0.1731335009
49	0.1715150085
50	0.1699979689
51	0.1686659027
52	0.1674182769
53	0.1662921136
54	0.1648657309
55	0.1635633932
56	0.1623621099
57	0.1612277704
58	0.1603729505
59	0.1595828034
60	0.1585239455
61	0.1575457695
62	0.1567444379
63	0.1559008983
64	0.1549756892
65	0.1539227743
66	0.1530554541
67	0.1524628826
68	0.1517907025
69	0.1512343854
70	0.1505427354
71	0.1500058856
72	0.1494028562
73	0.1487606535
74	0.1480637758
75	0.1473645132
76	0.1466846862
77	0.1461259951
78	0.1453678769
79	0.1448703394
80	0.144271089
81	0.1434580191
82	0.1430059461
83	0.1421790354
84	0.1416233385
85	0.1408527792
86	0.1404058339
87	0.1397901333
88	0.1392720632
89	0.13889967
90	0.1382882778
91	0.137696177
92	0.1372619213
93	0.1367302567
94	0.1363193057
95	0.1355936709
96	0.1350647001
97	0.1346151356
98	0.134255254
99	0.1335840083
100	0.1328789791
101	0.1323883422
102	0.1319634251
103	0.1315121388
104	0.1311246759
105	0.1307377317
106	0.1303935662
107	0.1298425571
108	0.1294196714
109	0.1290528888
110	0.1286832553
111	0.1284091082
112	0.128224188
113	0.1279670132
114	0.1275820568
115	0.1270947942
116	0.1266731054
117	0.1264189435
118	0.1259617997
119	0.1255411962
120	0.1251943656
121	0.1248082404
122	0.1245294349
123	0.1241231984
124	0.1236605202
125	0.1232618568
126	0.1230346749
127	0.1227360287
128	0.1224230092
129	0.1220623689
130	0.1217810931
131	0.1214180451
132	0.1211261699
133	0.1207330012
134	0.1205042868
135	0.1201130304
136	0.1198308101
137	0.1195344601
138	0.1192019326
139	0.1188976102
140	0.1186187952
141	0.1182642332
142	0.1179073234
143	0.1176147612
144	0.1173819582
145	0.1170649974
146	0.1166949104
147	0.1164334471
148	0.1161909525
149	0.1159189853
150	0.1156126527
151	0.1151278969
152	0.1148057456
153	0.1143810363
154	0.1140933864
155	0.1138860861
156	0.1137014287
157	0.1132840472
158	0.1130273543
159	0.1126462975
160	0.1123801787
161	0.1119994067
162	0.1116348442
163	0.1113178748
164	0.1110801338
165	0.1108556583
166	0.1105892186
167	0.1102492574
168	0.110041499
169	0.1098061805
170	0.1094743497
171	0.1091989301
172	0.1090472553
173	0.1088635149
174	0.1085627404
175	0.1082112438
176	0.1080391385
