iter	Logloss
0	0.6546397874
1	0.6198124566
2	0.5873851211
3	0.5567021533
4	0.5275925026
5	0.4995615465
6	0.4720198767
7	0.4493738953
8	0.4277573768
9	0.4098338736
10	0.3930217666
11	0.3754638118
12	0.359906226
13	0.3464916772
14	0.3330249132
15	0.3205400637
16	0.3108006272
17	0.3006777426
18	0.2938091496
19	0.2862785413
20	0.2774594696
21	0.2707586848
22	0.2634698323
23	0.2583506096
24	0.2534736312
25	0.2491457081
26	0.2441602658
27	0.2397928371
28	0.2348380126
29	0.2312136873
30	0.2268455926
31	0.223433406
32	0.2196429441
33	0.2160682372
34	0.2122390286
35	0.2094204507
36	0.2070007226
37	0.2048255036
38	0.2026721194
39	0.2000944845
40	0.1972212045
41	0.1951791697
42	0.1926515051
43	0.1904762913
44	0.1881566087
45	0.1861941661
46	0.1848825633
47	0.1832459132
48	0.1818560658
49	0.1801253291
50	0.178452977
51	0.176974459
52	0.1755677318
53	0.1746182785
54	0.1730169994
55	0.1716385925
56	0.1703196621
57	0.1690379424
58	0.1680792146
59	0.166925795
60	0.165730845
61	0.1645594919
62	0.1636692615
63	0.1627557538
64	0.1617474993
65	0.1606617086
66	0.1597568864
67	0.1589615076
68	0.1582377308
69	0.1573364795
70	0.1565946031
71	0.1560315559
72	0.1553608901
73	0.1544718464
74	0.1538117093
75	0.1530442976
76	0.152251685
77	0.1515347655
78	0.1507395269
79	0.1501995638
80	0.1496971674
81	0.1490307026
82	0.1485832041
83	0.1479210994
84	0.147366231
85	0.1466118333
86	0.145990032
87	0.1452874244
88	0.1447517196
89	0.1441338008
90	0.1437192182
91	0.1432046332
92	0.1426935685
93	0.1421587727
94	0.1416980285
95	0.1409813266
96	0.1405257379
97	0.1401031639
98	0.1397171077
99	0.1391809811
100	0.1384629428
101	0.1380060807
102	0.1375333397
103	0.1370797075
104	0.1366843357
105	0.1362453274
106	0.1358494405
107	0.1352492812
108	0.1348596423
109	0.1344186367
110	0.1338862624
111	0.1335665603
112	0.1332691348
113	0.1329292485
114	0.1324789388
115	0.1321731394
116	0.1318174133
117	0.1314063695
118	0.1308461016
119	0.1304161516
120	0.1300401905
121	0.1297118094
122	0.1294281569
123	0.1291600265
124	0.1287498749
125	0.1283128005
126	0.1280734743
127	0.1275824031
128	0.1271718533
129	0.1266801365
130	0.1262076996
131	0.1258346661
132	0.125516143
133	0.1252158378
134	0.1249811207
135	0.1245706074
136	0.1242661183
137	0.1238780205
138	0.1234304422
139	0.1230699625
140	0.1227803887
141	0.1222588812
142	0.1219939667
143	0.121707024
144	0.1214557711
145	0.1211030432
146	0.1207231823
147	0.1204098271
148	0.1202223842
149	0.1199472043
150	0.119760795
151	0.1194034587
152	0.1190665168
153	0.1186538148
154	0.1183442173
155	0.1181301554
156	0.1179050121
157	0.1176183855
158	0.1174328834
159	0.1170468026
160	0.1167583972
161	0.116362411
162	0.1159617085
163	0.1156766496
164	0.1154836815
165	0.1152612035
166	0.1150530544
167	0.1146784954
168	0.1144765931
169	0.1141846663
170	0.1138719212
171	0.1135986963
172	0.1133850526
173	0.1131414559
174	0.1129482173
175	0.1126059435
176	0.1124057649
177	0.1120329032
178	0.1117518114
179	0.1115992283
180	0.1113873668
181	0.1109159432
182	0.1106568085
183	0.1104324212
