iter	Passed	Remaining
412	3647	5184
413	3660	5180
414	3665	5167
415	3677	5162
416	3683	5149
417	3693	5143
418	3705	5138
419	3711	5125
420	3723	5121
421	3733	5113
422	3742	5104
423	3755	5102
424	3767	5097
425	3779	5092
426	3787	5082
427	3799	5078
428	3806	5066
429	3816	5059
430	3827	5052
431	3832	5038
432	3842	5030
433	3846	5016
434	3852	5003
435	3859	4992
436	3863	4977
437	3874	4971
438	3879	4957
439	3889	4950
440	3894	4936
441	3904	4929
442	3909	4915
443	3918	4906
444	3923	4893
445	3929	4881
446	3936	4870
447	3941	4856
448	3952	4850
449	3956	4836
450	3967	4829
451	3971	4815
452	3981	4808
453	3986	4794
454	3994	4785
455	4000	4772
456	4008	4762
457	4013	4750
458	4018	4736
459	4049	4753
460	4066	4755
461	4087	4759
462	4103	4759
463	4110	4747
464	4120	4741
465	4125	4727
466	4135	4720
467	4140	4706
468	4151	4699
469	4155	4686
470	4166	4679
471	4171	4665
472	4177	4654
473	4184	4643
474	4189	4630
475	4198	4621
476	4203	4608
477	4212	4600
478	4217	4587
479	4225	4578
480	4232	4566
481	4239	4556
482	4244	4543
483	4255	4537
484	4260	4523
485	4270	4516
486	4274	4502
487	4285	4496
488	4290	4483
489	4300	4475
490	4304	4462
491	4314	4454
492	4319	4441
493	4325	4430
494	4334	4422
495	4345	4415
496	4349	4402
497	4356	4391
498	4363	4381
499	4368	4368
500	4378	4361
501	4383	4348
502	4394	4341
503	4399	4329
504	4409	4322
505	4414	4309
506	4424	4302
507	4428	4289
508	4438	4281
509	4443	4269
510	4450	4258
511	4458	4249
512	4465	4239
513	4477	4233
514	4488	4226
515	4492	4214
516	4504	4208
517	4509	4195
518	4522	4191
519	4534	4185
520	4540	4174
521	4552	4168
522	4559	4158
523	4569	4150
524	4581	4145
525	4586	4132
526	4599	4127
527	4605	4116
528	4613	4107
529	4621	4098
530	4629	4088
531	4640	4082
532	4645	4069
533	4656	4063
534	4662	4052
535	4674	4046
536	4678	4033
537	4690	4027
538	4697	4017
539	4707	4010
540	4720	4004
541	4725	3993
542	4736	3986
543	4746	3978
544	4752	3967
545	4763	3960
546	4767	3948
547	4778	3941
548	4782	3928
549	4793	3921
550	4798	3910
551	4809	3903
552	4814	3891
553	4824	3884
554	4829	3872
555	4841	3866
556	4845	3854
557	4857	3847
558	4861	3835
559	4873	3828
560	4877	3817
561	4889	3810
562	4894	3799
563	4905	3792
564	4910	3780
565	4921	3773
566	4926	3762
567	4938	3755
568	4942	3744
569	4959	3741
570	4969	3733
571	4974	3721
572	4985	3715
573	4990	3703
574	5001	3696
575	5005	3684
576	5018	3678
577	5022	3667
578	5034	3660
579	5040	3650
580	5049	3641
581	5056	3631
582	5065	3622
583	5073	3614
584	5079	3603
585	5087	3594
586	5094	3584
587	5105	3577
588	5110	3566
589	5121	3558
590	5126	3547
591	5136	3540
592	5141	3529
593	5153	3522
594	5158	3511
595	5169	3504
596	5174	3493
597	5186	3486
598	5190	3474
599	5201	3467
600	5206	3456
601	5217	3449
602	5222	3438
603	5233	3431
604	5238	3420
605	5250	3413
606	5255	3402
607	5267	3395
608	5271	3384
609	5300	3388
610	5311	3381
611	5315	3370
612	5326	3362
613	5331	3351
614	5338	3342
615	5345	3332
616	5357	3325
617	5362	3314
618	5374	3307
619	5378	3296
620	5389	3289
621	5393	3277
622	5404	3270
623	5409	3259
624	5418	3250
625	5423	3240
626	5430	3230
627	5437	3220
628	5442	3209
629	5450	3201
630	5455	3190
631	5465	3182
632	5470	3171
633	5480	3164
634	5484	3152
635	5495	3145
636	5499	3134
637	5510	3126
638	5515	3115
639	5525	3108
640	5529	3097
641	5537	3087
642	5545	3079
643	5553	3070
644	5558	3059
645	5566	3050
646	5574	3041
647	5580	3031
648	5587	3022
649	5592	3011
650	5602	3003
651	5610	2994
652	5618	2985
653	5631	2979
654	5637	2969
655	5649	2962
656	5657	2953
657	5666	2945
658	5678	2938
659	5683	2927
660	5693	2919
661	5697	2909
662	5704	2899
663	5711	2890
664	5718	2880
665	5752	2884
666	5771	2881
667	5789	2877
668	5806	2872
669	5819	2866
670	5830	2858
671	5836	2848
672	5847	2841
673	5852	2830
674	5859	2821
675	5865	2811
676	5872	2801
677	5879	2792
678	5884	2781
679	5895	2774
680	5903	2765
681	5910	2755
682	5919	2747
683	5924	2737
684	5934	2728
685	5939	2718
686	5950	2710
687	5956	2701
688	5968	2694
689	5973	2683
690	5984	2676
691	5989	2665
692	6001	2658
693	6006	2648
694	6016	2640
695	6022	2630
696	6031	2621
697	6038	2612
698	6046	2603
699	6055	2595
700	6061	2585
701	6073	2578
702	6081	2569
703	6106	2567
704	6119	2560
705	6127	2551
706	6139	2544
707	6151	2537
708	6158	2527
709	6167	2519
710	6174	2509
711	6196	2506
712	6201	2496
713	6212	2488
714	6217	2478
715	6228	2470
716	6232	2460
717	6242	2451
718	6247	2441
719	6258	2433
720	6263	2423
721	6276	2416
722	6281	2406
723	6290	2398
724	6298	2389
725	6306	2380
726	6312	2370
727	6321	2361
728	6327	2352
729	6337	2344
730	6347	2335
731	6352	2325
732	6360	2316
733	6366	2307
734	6372	2297
735	6380	2288
736	6386	2279
737	6409	2275
738	6414	2265
739	6424	2257
740	6430	2247
741	6441	2239
742	6447	2230
743	6457	2221
744	6463	2212
745	6471	2203
746	6479	2194
747	6485	2184
748	6490	2175
749	6499	2166
750	6503	2156
751	6513	2148
752	6523	2139
753	6529	2130
754	6543	2123
755	6550	2114
756	6558	2105
757	6571	2098
758	6578	2088
759	6588	2080
760	6595	2071
761	6602	2062
762	6607	2052
763	6616	2043
764	6621	2034
765	6630	2025
766	6634	2015
767	6645	2007
768	6650	1997
769	6660	1989
770	6667	1980
771	6675	1971
772	6681	1961
773	6709	1959
